010.000.2409.00,"RIFAMPICINA  DE 300 MG, CÁPSULA,  COMPRIMIDO  O TABLETA  RECUBIERTA, ENVASE CON 1000 CÁPSULAS,  COMPRIMIDOS O TABLETAS RECUBIERTAS.",1 000 CÁPSULAS  O COMPRIMIDOS O TABLETAS RECUBIERTAS,CIEL:767,Rifampin,,
010.000.0429.00,"SALBUTAMOL  Ó  SULFATO   DE  SALBUTAMOL  DE  20  MG,  SUSPENSIÓN   EN AEROSOL,  ENVASE CON INHALADOR  CON 200 DOSIS DE 100 µG.",ENVASE CON INHALADOR  CON 200 DOSIS DE100 MICROGRAMO,PIH:798,salbutamol,90,
010.000.0431.00,"SALBUTAMOL Ó SULFATO  DE SALBUTAMOL DE 2 MG/5 ML, JARABE,  ENVASE CON 60 ML.",ENVASE CON 60 ML,PIH:798,salbutamol,90,
010.000.1272.00,"SENÓSIDOS    A-B     DE    CONCENTRADO   DE    SEN    DESECADOS    187    MG (NORMALIZADO A 8.6 MG), TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:83809,sennosides,,
010.000.1270.00,"SENÓSIDOS  A-B  DE CONCENTRADO DE SEN EQUIVALENTE A 200 MG/100 ML, SOLUCIÓN ORAL, ENVASE CON 75 ML.",ENVASE CON 75 ML,CIEL:83809,sennosides,,
030.000.0011.00,"SUCEDÁNEO   DE   LECHE   HUMANA   DE   TÉRMINO   DE   KCAL   509-528/100G, LÍPIDOS 25.80-28.90/100G, PROTEÍNAS  9.50-12.0/100G, HIDRATO DE CARBONO 55.20-57.90/100G, POLVO,  ENVASE  DE LATA  CON 400 A 454 G Y MEDIDA  DE 4.30 A 4.50 G.",ENVASE CON 400 A 454 G,CIEL:5254,,,
010.000.2829.00,"SULFACETAMIDA SÓDICA  DE 0.1 G/ML, SOLUCIÓN  OFTÁLMICA,  ENVASE  CON GOTERO INTEGRAL CON 15 ML.",GOTERO INTEGRAL CON 15 ML,CIEL:84454,sulfacetamide sodium,82,
010.000.1704.00,"SULFATO  FERROSO  HEPTAHIDRATADO DE 125 MG / ML, EQUIVALENTE A 25 MG/ML DE HIERRO ELEMENTAL,  SOLUCIÓN,  ENVASE GOTERO CON 15 ML.",ENVASE GOTERO CON 15 ML,PIH:256,Ferrous sulfate,,
010.000.1703.00,"SULFATO FERROSO DESECADO  DE CADA TABLETA CONTIENE: SULFATO FERROSO  DESECADO  APROXIMADAMENTE 200 MG EQUIVALENTE A 60.27 MG DE HIERRO ELEMENTAL,  TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,CIEL:76342,ferrous sulfate,87,
010.000.2542.00,"TELMISARTÁN - HIDROCLOROTIAZIDA DE 80.0 MG/12.5 MG, TABLETA, ENVASE CON 14 TABLETAS.",ENVASE CON 14 TABLETAS.,CIEL:104843,,,
010.000.5075.00,"TEOFILINA   ANHIDRA   DE  533  MG/100   ML,  ELÍXIR,  ENVASE   CON  450  ML  Y DOSIFICADOR.",ENVASE CON 450 ML,CIEL:84950,THEOPHYLLINE ANHYDROUS,,
010.000.0437.00,"TEOFILINA  ANHIDRA  DE  100  MG.,  COMPRIMIDO  Ó TABLETA  O CÁPSULA  DE LIBERACIÓN  PROLONGADA, ENVASE  CON  20 COMPRIMIDOS O TABLETAS  O CÁPSULAS  DE LIBERACIÓN  PROLONGADA.",20 COMPRIMIDOS Ó TABLETAS Ó CÁPSULAS  DE LIBERACIÓN PROLONGADA,CIEL:84950,THEOPHYLLINE ANHYDROUS,,
010.000.0433.00,"TERBUTALINA, SULFATO DE DE 5 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:84826,terbutaline,91,
010.000.1981.00,"TETRACICLINA, CLORHIDRATO DE DE 250 MG, TABLETA O CÁPSULA,  ENVASE CON 10 TABLETAS O CÁPSULAS.",10 TABLETAS O CÁPSULAS,CIEL:84893,tetracycline,83,
010.000.2263.00,"TIOTROPIO  MONOHIDRATADO, BROMURO  DE DE  18 µG,  CÁPSULA,  ENVASE CON 30 CÁPSULAS  (REPUESTO).",ENVASE CON 30 CÁPSULAS (REPUESTO).,CIEL:85157,tiotropium,,
010.000.2262.00,"TIOTROPIO  MONOHIDRATADO, BROMURO  DE DE  18 µG,  CÁPSULA,  ENVASE CON 30 CÁPSULAS  Y DISPOSITIVO  INHALADOR.",ENVASE CON 30 CÁPSULAS Y DISPOSITIVO INHALADOR.,CIEL:85157,tiotropium,,
010.000.1903.00,"TRIMETOPRIMA  -  SULFAMETOXAZOL  DE  80  MG/400   MG,   COMPRIMIDO   O TABLETA, ENVASE CON 20 COMPRIMIDOS O TABLETAS.",20 TABLETAS O COMPRIMIDOS,CIEL:105281,,,
010.000.1904.00,"TRIMETOPRIMA -  SULFAMETOXAZOL DE  40  MG/200  MG/5  ML,  SUSPENSIÓN ORAL, ENVASE CON 120 ML Y DOSIFICADOR.",ENVASE CON 120 ML,CIEL:105281,,,
010.000.0591.00,"TRINITRATO  DE  GLICERILO  DE  0.8  MG,  CÁPSULA  O TABLETA  MASTICABLE, ENVASE CON 24 CÁPSULAS  O TABLETAS MASTICABLES.",24 CÁPSULAS  O TABLETAS,CIEL:80704,Nitroglycerin,,
010.000.2630.00,"VALPROATO SEMISÓDICO (ÁCIDO VALPROICO) DE 500 MG, TABLETA DE LIBERACIÓN  PROLONGADA, ENVASE CON 30 TABLETAS DE LIBERACIÓN PROLONGADA.",30 TABLETAS,CIEL:84114,,,
010.000.2715.00,VITAMINA E GRAGEA O CÁPSULA DE GELATINA 400 MG,ENVASE CON 99 Ó 100 GRAGEAS O CAPSULAS,CIEL:86347,,,
010.000.4376.00,"VITAMINAS (POLIVITAMINAS) Y MINERALES  DE VITAMINA B1, B2, B6, B12, NIACINAMIDA, E, A, D3,  ÁCIDO  PANTOTÉNICO, SULFATO  FERROSO,  COBRE, MAGNESIO,    ZINC,    TABLETA,    CÁPSULA    O   GRAGEA,    ENVASE    CON    30 TABLETAS,  CÁPSULAS  O GRAGEAS.","30 TABLETAS, CÁPSULAS  O GRAGEAS",PIH:461,multivitamin,,
010.000.1098.00,"VITAMINAS A, C Y D DE PALMITATO DE RETINOL 7000 A 9000 UI, ÁCIDO ASCÓRBICO  80 A 125 MG, COLECALCIFEROL 1400 A 1800 UI/ML.,  SOLUCIÓN, ENVASE CON 15 ML.",ENVASE CON 15 ML,PIH:461,multivitamin,,
010.000.2801.00,ZINC Y FENILEFRINA  SOLUCIÓN OFTÁLMICA  2.5 MG/1.2 MG/ ML,ENVASE CON GOTERO INTEGRAL CON 15 ML.,CIEL:105169,,,
